"cenario","metodo","percentual_p","media_r","sd_r","n_r","media_rmse","sd_rmse","n_rmse","media_delta_r","sd_delta_r","n.x","media_delta_rmse","sd_delta_rmse","n.y"
"C2","RF",100,0.773628581257954,0.0132466737020924,5,0.677480305639278,0.0237857754469457,5,0,0,5,0,0,5
"C2","RF",50,0.770641922376763,0.0169932355843669,5,0.675397089807991,0.0237376270903173,5,0.00298665888119118,0.00695401867109463,5,-0.00208321583128686,0.00332924055426209,5
"C2","RF",25,0.763299838777138,0.0220641097510145,5,0.678488947263115,0.02922412141716,5,0.0103287424808154,0.0104261271173325,5,0.00100864162383743,0.00600504273400958,5
"C2","RF",10,0.754354781112349,0.025481697263936,5,0.677359934810818,0.028679401714236,5,0.0192738001456048,0.0155528447207263,5,-0.00012037082845997,0.00862230643083371,5
"C2","RF",5,0.727362459280682,0.0340266665764333,5,0.69124049418808,0.0344046096260388,5,0.0462661219772715,0.0241029083123283,5,0.0137601885488022,0.0128295638927617,5
"C2","RF",1,0.571856387054158,0.0586033478854602,5,0.782911263423094,0.0490202418323643,5,0.201772194203795,0.0473306638468614,5,0.105430957783816,0.0261748665162042,5
"C2","TREE",100,0.342394523263498,0.0644567701257959,5,0.959546823661428,0.0580643394012498,5,0,0,5,0,0,5
"C2","TREE",50,0.34309714126977,0.064468932085537,5,0.959166548356235,0.0583945464419315,5,-0.000702618006271705,0.00157110162423599,5,-0.000380275305193312,0.000850321432576165,5
"C2","TREE",25,0.34309714126977,0.064468932085537,5,0.959166548356235,0.0583945464419315,5,-0.000702618006271705,0.00157110162423599,5,-0.000380275305193312,0.000850321432576165,5
"C2","TREE",10,0.34491844762509,0.0640979976849466,5,0.960723492771322,0.0587498928662554,5,-0.0025239243615916,0.00398182595210502,5,0.00117666910989436,0.00378465254397243,5
"C2","TREE",5,0.34309714126977,0.064468932085537,5,0.959166548356235,0.0583945464419315,5,-0.000702618006271705,0.00157110162423599,5,-0.000380275305193312,0.000850321432576165,5
"C2","TREE",1,0.316498990363463,0.0302320165930794,5,0.932180704268099,0.0200856655611138,5,0.0258955329000353,0.0531663621568616,5,-0.0273661193933295,0.0405306489682403,5
"C3","BAGGING",100,0.780958236160545,0.0349953852957481,5,0.479367988765284,0.0332043558216751,5,0,0,5,0,0,5
"C3","BAGGING",50,0.782194613657074,0.0350958148239424,5,0.476990198315711,0.0335299062187299,5,-0.00123637749652838,0.00699508715312914,5,-0.0023777904495727,0.00505186889419477,5
"C3","BAGGING",25,0.775037421082104,0.0412778675087914,5,0.480255852276607,0.0353008282848814,5,0.00592081507844087,0.00859165773641667,5,0.000887863511323428,0.00495248021473439,5
"C3","BAGGING",10,0.766520606939057,0.0461597256740182,5,0.479344201549455,0.0396474259115802,5,0.0144376292214884,0.013453143365372,5,-2.37872158288299e-05,0.00985324685960808,5
"C3","BAGGING",5,0.749914717990941,0.0514294518221125,5,0.485422920663839,0.0429815979150884,5,0.0310435181696038,0.0204679947658502,5,0.00605493189855536,0.0113869780165334,5
"C3","BAGGING",1,0.646715351819755,0.0681597010830636,5,0.532768249955869,0.0536182562751101,5,0.13424288434079,0.0737782711052131,5,0.0534002611905855,0.041427807313108,5
"C3","BOOSTING",100,0.775894553869751,0.0273244537105945,5,0.483977845436588,0.0302442259258734,5,0,0,5,0,0,5
"C3","BOOSTING",50,0.775495547072489,0.0277260481512684,5,0.483445218915054,0.0298282747860518,5,0.000399006797262058,0.0071076919255914,5,-0.000532626521534907,0.00361973453225959,5
"C3","BOOSTING",25,0.77270342059628,0.037140971094262,5,0.485093518772486,0.0332804682220964,5,0.00319113327347111,0.0149045962300391,5,0.00111567333589734,0.00743544547253166,5
"C3","BOOSTING",10,0.770513440028403,0.032701201734258,5,0.48522901792413,0.0330171637033916,5,0.00538111384134821,0.00620270966827768,5,0.00125117248754125,0.00384072660778319,5
"C3","BOOSTING",5,0.757528359116426,0.0344154508071635,5,0.491009828464822,0.0333769111005594,5,0.0183661947533253,0.0102494290601576,5,0.00703198302823324,0.00365495529842056,5
"C3","BOOSTING",1,0.664638380664742,0.0482414113781578,5,0.531283831849232,0.0419221285985676,5,0.111256173205009,0.021870637012028,5,0.0473059864126439,0.0128638139097278,5
"C3","GBLUP",100,0.805637470635843,0.02040215138862,5,0.414013294226471,0.0233976439126451,5,0,0,5,0,0,5
"C3","GBLUP",50,0.801274600770343,0.0214980393197135,5,0.418691119208481,0.0247722354031823,5,0.00436286986550019,0.00215781768334653,5,0.00467782498201003,0.00256611034623481,5
"C3","GBLUP",25,0.797164180877988,0.0252795308228817,5,0.423761588430167,0.0284775818447611,5,0.00847328975785553,0.00656068451576166,5,0.00974829420369595,0.0059691200511737,5
"C3","GBLUP",10,0.776687326886709,0.0267348349321057,5,0.444223473335901,0.0284889653546646,5,0.0289501437491345,0.00757192056572539,5,0.0302101791094298,0.00555361870262955,5
"C3","GBLUP",5,0.735793047542313,0.0232220522825905,5,0.479325565991344,0.0251245078130957,5,0.0698444230935307,0.0144778707510673,5,0.0653122717648725,0.0102524325933256,5
"C3","GBLUP",1,0.616520898056011,0.0429241493379549,5,0.558393031601214,0.0364665498999027,5,0.189116572579833,0.0512482340480571,5,0.144379737374742,0.0349276130120437,5
"C3","MARS",100,0.568836989218298,0.035346083867837,5,0.593724116773569,0.0302807425965352,5,0,0,5,0,0,5
"C3","MARS",50,0.568836989218298,0.035346083867837,5,0.593724116773569,0.0302807425965352,5,0,0,5,0,0,5
"C3","MARS",25,0.568836989218298,0.035346083867837,5,0.593724116773569,0.0302807425965352,5,0,0,5,0,0,5
"C3","MARS",10,0.568836989218298,0.035346083867837,5,0.593724116773569,0.0302807425965352,5,0,0,5,0,0,5
"C3","MARS",5,0.568836989218298,0.035346083867837,5,0.593724116773569,0.0302807425965352,5,0,0,5,0,0,5
"C3","MARS",1,0.568836989218298,0.035346083867837,5,0.593724116773569,0.0302807425965352,5,0,0,5,0,0,5
"C3","RF",100,0.782165680356451,0.0363210962808215,5,0.479287789007552,0.034348342332326,5,0,0,5,0,0,5
"C3","RF",50,0.783188922241609,0.0324939189696254,5,0.47484117776276,0.034227275961968,5,-0.0010232418851577,0.00661548171692357,5,-0.0044466112447923,0.00202704789779968,5
