"cenario","fold","metodo","percentual_p","p","n_treino","n_teste","seed","runtime_seconds","r_true_g","rmse_true_g","mae_true_g","bias_true_g","slope_true_g","r2_true_g","r_phenotype","rmse_phenotype","r_baseline","rmse_baseline","delta_r","delta_rmse"
"C1",1,"TREE",5,201,800,200,20362213,0.310000000000002,0.813481756767871,1.10305735727431,0.883735174581976,-0.00432456229355623,0.910416965153635,0.655340097355661,0.696931689925041,1.65107277322563,0.820947158938993,1.08124272288336,0.00746540217112135,0.0218146343909473
"C1",1,"TREE",1,40,800,200,20362209,0.0599999999999739,0.686877067279024,1.37255991706166,1.20055529288852,0.129485941671706,0.962871099730088,0.466349164511883,0.598144900538132,1.84849962562282,0.820947158938993,1.08124272288336,0.134070091659969,0.291317194178299
"C1",1,"BAGGING",100,4010,800,200,20362408,429.09,0.900370509361677,0.846862312103482,0.690992489483333,0.0357261816499883,1.14789606696662,0.796848430718499,0.763330604844412,1.51283856715242,0.900370509361677,0.846862312103482,0,0
"C1",1,"BAGGING",50,2005,800,200,20362358,266.42,0.897973476785906,0.854911791953523,0.695274796416664,0.0425726399166717,1.14463530014026,0.792968139705332,0.764602085461726,1.51014865027051,0.900370509361677,0.846862312103482,0.00239703257577017,0.00804947985004134
"C1",1,"BAGGING",25,1003,800,200,20362333,136.49,0.901339217816432,0.837231616831738,0.678647996533336,0.0299480890333179,1.12974833847112,0.801442721947141,0.767511354859647,1.49859157848693,0.900370509361677,0.846862312103482,-0.000968708454755052,-0.00963069527174354
"C1",1,"BAGGING",10,401,800,200,20362318,53.61,0.90372930168232,0.821058025324333,0.672804619866668,0.0344614478999972,1.10480885334079,0.809040059589003,0.772629223610059,1.48027526279883,0.900370509361677,0.846862312103482,-0.00335879232064329,-0.0258042867791488
"C1",1,"BAGGING",5,201,800,200,20362313,26.5,0.90939600161266,0.790190406177988,0.648476709233338,0.0399841670333279,1.0687248446788,0.823128412120884,0.781704625808781,1.44882765657074,0.900370509361677,0.846862312103482,-0.00902549225098292,-0.0566719059254936
"C1",1,"BAGGING",1,40,800,200,20362309,5.68000000000001,0.897482296757921,0.841792092886723,0.6703533957117,0.0489849135049859,0.923538913441051,0.799273711826915,0.751038574911469,1.5227480055056,0.900370509361677,0.846862312103482,0.00288821260375605,-0.00507021921675843
"C1",1,"RF",100,4010,800,200,20362508,168.48,0.902341258676914,0.845704259944734,0.681186972283333,0.0542946582500014,1.16292317047078,0.797403654998407,0.768596418100629,1.50482756412005,0.902341258676914,0.845704259944734,0,0
"C1",1,"RF",50,2005,800,200,20362458,101.87,0.899342849646122,0.849101265816069,0.686796260700011,0.0397196309666666,1.14259910512584,0.795772817313378,0.76661294565037,1.50460664202562,0.902341258676914,0.845704259944734,0.00299840903079185,0.00339700587133551
"C1",1,"RF",25,1003,800,200,20362433,51.14,0.906209571321024,0.819218206369822,0.655633808966671,0.0554702744333272,1.12714341890789,0.809894903160889,0.770964220795913,1.48939988364534,0.902341258676914,0.845704259944734,-0.00386831264411003,-0.0264860535749118
"C1",1,"RF",10,401,800,200,20362418,21.84,0.912668181715327,0.782531726554088,0.625353691683331,0.0331299182833399,1.0936848448608,0.82654034493638,0.778702871326945,1.46061176350086,0.902341258676914,0.845704259944734,-0.0103269230384126,-0.0631725333906458
"C1",1,"RF",5,201,800,200,20362413,12.03,0.915527652669584,0.758661310927157,0.61493934718334,0.0291740608166678,1.035560530522,0.836961397559543,0.784212874352404,1.43460919885498,0.902341258676914,0.845704259944734,-0.0131863939926697,-0.0870429490175765
"C1",1,"RF",1,40,800,200,20362409,2.82999999999998,0.867941914091613,0.969049420753036,0.774368510704938,0.067198050675276,0.865966652837685,0.733997068853224,0.715872096382025,1.62491407406877,0.902341258676914,0.845704259944734,0.0343993445853016,0.123345160808302
"C1",1,"BOOSTING",100,4010,800,200,20362608,32.53,0.928432106793855,0.883796582953937,0.71780731523405,-0.0464877415551958,1.44847061203427,0.778741886140587,0.762587977830495,1.58647371250627,0.928432106793855,0.883796582953937,0,0
"C1",1,"BOOSTING",50,2005,800,200,20362558,24.79,0.929957588044338,0.868680783542931,0.700056062177583,-0.0542594606762446,1.42820809139358,0.786245631840586,0.764466668206652,1.57682424740569,0.928432106793855,0.883796582953937,-0.00152548125048291,-0.015115799411006
"C1",1,"BOOSTING",25,1003,800,200,20362533,10.4,0.92902396758733,0.869605719205053,0.697571807623682,-0.0662976212798586,1.42215289082448,0.785790195740169,0.760569208417524,1.58285032537306,0.928432106793855,0.883796582953937,-0.000591860793475174,-0.0141908637488833
"C1",1,"BOOSTING",10,401,800,200,20362518,4.11000000000001,0.931076765008301,0.855464967276457,0.692562026426224,-0.0652626392595271,1.40880852472119,0.792700130843507,0.766372420357272,1.56759808789897,0.928432106793855,0.883796582953937,-0.00264465821444682,-0.0283316156774794
